userID;title;wrongAnswers;rightAnswers;matchesDone;companyID;name
5;Business Competition Demo;1;69;7;6;Employerland
8;Business Competition Demo;1;139;14;6;Employerland
10;Business Competition Demo;0;50;5;6;Employerland
12;Business Competition Demo;3;37;4;6;Employerland
13;Business Competition Demo;1;9;1;6;Employerland
13;Women@Bosch;5;1;1;3;Bosch
13;Bricoman;5;1;1;25;Bricoman Italia
13;RAI Competition;5;1;1;128;RAI
13;Recruiting Day;2;4;1;129;Aeroporti di Roma
16;Business Competition Demo;0;10;1;6;Employerland
17;Business Competition Demo;24;46;7;6;Employerland
19;Business Competition Demo;8;2;1;6;Employerland
19;Unilever Business Digital Competition;20;16;6;5;Unilever
19;Unilever Competition;2;4;1;5;Unilever
20;Business Competition Demo;4;26;3;6;Employerland
20;Business Competition J&J;41;25;11;7;Johnson & Johnson
20;Women@Bosch;3;3;1;3;Bosch
20;Unilever Business Digital Competition;32;16;8;5;Unilever
20;EY - Meet the Future Assurance;34;26;10;67;Employerland Demo
20;EY - Meet the Future - Assurance;18;18;6;81;EY
20;Lottomatica Flash Competition;20;4;4;88;Lottomatica
20;Recruiting Day;24;12;6;9;Elica
20;Finance Day Competition;5;1;1;36;Roche
20;RAI Competition;7;5;2;128;RAI
20;Recruiting Day;2;4;1;129;Aeroporti di Roma
20;EY - Meet the Future;4;2;1;81;EY
20;Bosch Talent Competition;4;2;1;3;Bosch
22;Business Competition Demo;2;8;1;6;Employerland
24;Business Competition Demo;2;8;1;6;Employerland
25;Business Competition Demo;5;5;1;6;Employerland
26;Business Competition Demo;0;10;1;6;Employerland
28;Business Competition Demo;3;7;1;6;Employerland
29;Business Competition Demo;1;9;1;6;Employerland
32;Business Competition;1;9;1;6;Employerland
36;Business Competition Demo;1;9;1;6;Employerland
37;Business Competition Demo;5;5;1;6;Employerland
42;Business Competition Demo;7;13;2;6;Employerland
47;Business Competition Demo;3;7;1;6;Employerland
52;Business Competition Demo;4;6;1;6;Employerland
54;Business Competition Demo;4;6;1;6;Employerland
58;Business Competition Demo;6;4;1;6;Employerland
61;Business Competition Demo;3;7;1;6;Employerland
63;Business Competition Demo;3;7;1;6;Employerland
66;Business Competition Demo;4;6;1;6;Employerland
68;Business Competition Demo;2;8;1;6;Employerland
