job_ID;top_words
1204;['audit', 'internal', 'supporting', 'otb', 'adequacy']
728;['terranov', 'resident', 'maturit', 'saper', 'vend']
623;['stor', 'manager', 'alli', 'verr', 'trascorrer']
391;['sondr', 'abbigl', 'capacit', 'tess', 'junior']
392;['tess', 'tessil', 'sar', 'abbigl', 'marzott']
378;['tintor', 'macchin', 'tess', 'grupp', 'produtt']
498;['capacit', 'previst', 'secodn', 'attivit', 'qualc']
499;['marzott', 'inser', 'attravers', 'format', 'talent']
500;['industrial', 'marzott', 'inser', 'attravers', 'gruppo']
501;['ordin', 'documentali', 'sondrio', 'spedizioni', 'telefono']
587;['marzott', 'progett', 'creat', 'verrann', 'designers']
588;['calcol', 'budget', 'standard', 'trasfert', 'revised']
647;['candidato', 'manifatturiere', 'persever', 'veneto', 'vicenza']
679;['impar', 'tessile', 'analizz', 'controll', 'attiv']
681;['collbaor', 'candidato', 'secodn', 'ordini', 'diploma']
324;['meticolos', 'men', 'ar', 'labelling', 'uff']
1111;['mars', 'hom', 'site', 'fianc', 'opportun']
1321;['starbucks', 'bevand', 'perc', 'caff', 'brand']
1332;['starbucks', 'bevand', 'perc', 'caff', 'brand']
1335;['starbucks', 'bevand', 'perc', 'caff', 'brand']
1371;['store', 'perc', 'garant', 'privacy', 'person']
100;['vendita', 'tours', 'lavor', 'sens', 'simili']
293;['attrazion', 'acquatiche', 'snowboard', 'surf', 'kitesurf']
294;['cass', 'diffus', 'sens', 'cassa', 'cv']
295;['utenza', 'attrazioni', 'percorsi', 'sens', 'parco']
296;['giostr', 'giostre', 'sens', 'incaric', 'parco']
297;['pulizie', 'sens', 'cv', 'tratt', 'garanz']
298;['cuochi', 'ristorazione', 'banconisti', 'cassier', 'fumator']
299;['animal', 'requis', 'mammifer', 'acquariologia', 'marini']
300;['bagnin', 'salvataggio', 'sens', 'acquat', 'salvatagg']
301;['dinosauri', 'safar', 'teatral', 'necessar', 'sens']
302;['albo', 'infermiere', 'infermierist', 'sens', 'cv']
303;['acque', 'brevett', 'piscin', 'acquar', 'zoomarin']
304;['telefonate', 'sens', 'inbound', 'dialett', 'ricezion']
305;['tours', 'fotografo', 'lavor', 'sens', 'fotografi']
409;['campania', 'turistico', 'oper', 'rapport', 'istituzioni']
410;['turistico', 'lazio', 'sens', 'lgds', 'conserv']
411;['inerent', 'diritt', 'amministr', 'cessazion', 'bust']
412;['scienz', 'richiesti', 'questionar', 'gradimento', 'pervenuti']
413;['dovr', 'food', 'beverag', 'ristorazione', 'reddit']
502;['cv', 'scienz', 'richiesti', 'questionar', 'gradimento']
388;['piante', 'piant', 'giardin', 'parc', 'giardini']
335;['effettu', 'controll', 'quot', 'accett', 'avven']
336;['sistem', 'virtualizz', 'infrastruttur', 'produzion', 'cisc']
337;['abil', 'oriented', 'interpersonal', 'ottim', 'softw']
338;['ejb', 'abil', 'html5', 'svilupp', 'jav']
153;['navision', 'dynamics', 'anal', 'customizz', 'contabil']
97;['esercent', 'eurobet', 'capac', 'assistt', 'richiest']
165;['online', 'betting', 'gaming', 'account', 'mail']
166;['gaming', 'gioc', 'bingo', 'poker', 'casinò']
168;['art', '99', 'categor', '68', 'lgs']
169;['trading', 'miglior', 'sport', 'ottim', 'gestion']
170;['onlin', 'canal', 'acquisition', 'acquisizion', 'retention']
171;['singol', 'promozional', 'poker', 'casinò', 'capac']
173;['conosct', 'log', 'qual', 'sql', 'db']
1207;['effettu', 'correttezz', 'controll', 'monitor', 'avven']
1208;['essenzial', 'capac', 'ottim', 'preferenzial', 'titol']
1326;['mail', 'capac', 'ottim', 'preferenzial', 'titol']
1327;['online', 'dipart', 'sportsbook', 'liv', 'quotidian']
720;['bosch', 'eventi', 'fianc', 'tecnolog', 'diversità']
721;['diesel', 'interessi', 'overview', 'comuni', 'scamb']
763;['power', 'kam', 'merchandisers', 'responsabilita', 'listin']
764;['pag', 'speciali', 'distingue', 'passivo', 'cos']
528;['energet', 'intervent', 'analis', 'efficit', 'individu']
633;['ordin', 'sapere', 'nonantol', 'conferm', 'client']
634;['bosc', 'vit', 'bosch', 'potra', 'donn']
766;['johnson', 'prodott', 'settor', 'chimic', 'spa']
767;['johnson', 'lott', 'settor', 'prodott', 'farmaceut']
733;['johnson', 'sales', 'medical', 'customers', 'pharmaceutical']
709;['johnson', 'prodott', 'laborator', 'janssen', 'settor']
710;['johnson', 'janssen', 'spa', 'settor', 'procedur']
1143;['johnson', 'interfacc', 'product', 'cliniche', 'sanitarie']
1144;['pricing', 'mass', 'johnson', 'canal', 'sull']
1145;['garant', 'fin', 'termin', 'vendita', 'vend']
1184;['integrity', 'var', 'prodott', 'specif', 'conform']
1185;['produzion', 'chimica', 'fluss', 'produtt', 'dipart']
989;['complaints', 'attesi', 'customer', 'gestion', 'inser']
990;['johnson', 'attiv', 'mercato', 'canal', 'material']
991;['clinic', 'assistt', 'tecnic', 'dipart', 'elettromedical']
1055;['raw', 'rmc', 'material', 'portfolio', 'technical']
1056;['packaging', 'hav', 'consumer', 'ensur', 'technical']
901;['johnson', 'material', 'spa', 'settor', 'planning']
902;['johnson', 'execution', 'settor', 'spa', 'produtt']
948;['relat', 'prodotti', 'tirocin', 'forz', 'attiv']
949;['shopper', 'attiv', 'johnson', 'particolare', 'canal']
950;['ordin', 'soll', 'attesi', 'nell', 'inser']
944;['inventory', 'medical', 'supply', 'chain', 'planning']
866;['johnson', 'marketing', 'medical', 'company', 'product']
867;['johnson', 'marketing', 'cologn', 'company', 'janssen']
868;['johnson', 'clinic', 'assistt', 'company', 'tecnic']
830;['johnson', 'esegu', 'puliz', 'rivalid', 'spa']
286;['csc', 'piemonte', 'sugger', 'install', 'assicur']
312;['patologica', 'anatom', 'esistent', 'alto', 'diagnostics']
272;['fiscal', 'fiscali', 'roch', 'uffic', 'ademp']
507;['eventual', 'diagnostics', 'roch', 'fluss', 'supply']
508;['evidt', 'market', 'access', 'scientifici', 'farmacoeconom']
509;['roch', 'reclam', 'prodott', 'interfacc', 'temat']
333;['swa', 'partecip', 'local', 'paes', 'support']
546;['labor', 'priv', 'national', 'esistent', 'roch']
592;['hr', 'funzion', 'particol', 'gestion', 'interfacc']
