comp1;comp2
Luxottica;RED
Luxottica;Lego-Percassi
Luxottica;Starbucks-Percassi
Luxottica;Antica Focacceria San Francesco
Luxottica;Gi Group
Luxottica;UNICOOP FIRENZE
Luxottica;Dmail-Percassi
Luxottica;Roche UK
Luxottica;Nike-Percassi
Luxottica;Victoria's secret - Percassi 
MSD Italia;Open Fiber
Eurobet Italia;Cellularline
Eurobet Italia;Gi Group Horeca
Lidl Italia;Gi Group Horeca
Capgemini;AST - ThyssenKrupp
Capgemini;INDRA
Capgemini;Siram
Capgemini;NTT DATA Italia
Capgemini;Amplifon
Capgemini;Mars Italia
Capgemini;Roche UK
Capgemini;Dmail-Percassi
Capgemini;UNICOOP FIRENZE
Capgemini;Victoria's secret - Percassi 
Cellularline;EVERIS
Cellularline;RED
Cellularline;Lego-Percassi
Cellularline;Nike-Percassi
Cellularline;Gi Group
Cellularline;Victoria's secret - Percassi 
Cellularline;Starbucks-Percassi
Cellularline;UNICOOP FIRENZE
Cellularline;Antica Focacceria San Francesco
Cellularline;Dmail-Percassi
Roche UK;Dmail-Percassi
Roche UK;UNICOOP FIRENZE
Roche UK;Starbucks-Percassi
Roche UK;Antica Focacceria San Francesco
Roche UK;Gi Group
Roche UK;Nike-Percassi
Roche UK;Victoria's secret - Percassi 
Roche UK;Lego-Percassi
Roche UK;RED
Roche UK;MOOD HOTELS
Datalogic;Tech Data
Datalogic;Open Fiber
Datalogic;EVERIS
Datalogic;SMOOTH HOTELS
Datalogic;MAG HOTELS
Datalogic;Lego-Percassi
Datalogic;RED
Datalogic;MOOD HOTELS
Datalogic;Nike-Percassi
Datalogic;Antica Focacceria San Francesco
Università Europea di Roma;Cellularline
Whirlpool;Tech Data
Whirlpool;Datalogic
Tech Data;Datalogic
Tech Data;Open Fiber
Tech Data;EVERIS
Tech Data;SMOOTH HOTELS
Tech Data;MAG HOTELS
Tech Data;Cellularline
Tech Data;Lego-Percassi
Tech Data;RED
Tech Data;MOOD HOTELS
Tech Data;Nike-Percassi
Aeroporti di Roma;Datalogic
Aeroporti di Roma;Tech Data
Accenture;NTT DATA Italia
Accenture;Luxottica
Gi Group;Antica Focacceria San Francesco
Gi Group;UNICOOP FIRENZE
Gi Group;Nike-Percassi
Gi Group;Starbucks-Percassi
Gi Group;Dmail-Percassi
Gi Group;Roche UK
Gi Group;Victoria's secret - Percassi 
Gi Group;Lego-Percassi
Gi Group;RED
Gi Group;MOOD HOTELS
PwC;Gi Group Horeca
PwC;INDRA
Würth Srl ;Luxottica
Würth Srl ;SAP
Würth Srl ;QiBit
Würth Srl ;Vente-Privee - Privalia
Würth Srl ;AST - ThyssenKrupp
Würth Srl ;Siram
Würth Srl ;Carrefour Italia
Würth Srl ;Tech Data
Deloitte;Capgemini
Deloitte;EVERIS
Deloitte;Cellularline
Kpmg;Siram
Wind Tre;Open Fiber
INDRA;QiBit
INDRA;NTT DATA Italia
INDRA;Amplifon
INDRA;SAP
INDRA;Capgemini
INDRA;Roche UK
INDRA;Dmail-Percassi
INDRA;UNICOOP FIRENZE
