job_ID;similar_ID;similarity_value
1204;[1204];[1.]
728;[728];[1.]
623;[623 711];[1.         0.32011823]
391;[391 392];[1.         0.35877605]
392;[391 392];[0.35877605 1.        ]
378;[378];[1.]
498;[498 681];[1.         0.52830269]
499;[499 500];[1.         0.78069211]
500;[499 500];[0.78069211 1.        ]
501;[501];[1.]
587;[587];[1.]
588;[588];[1.]
647;[647];[1.]
679;[679];[1.]
681;[498 681];[0.52830269 1.        ]
324;[324];[1.]
1111;[1111];[1.]
1321;[1321 1332 1335 1371 1314 1372 1313 1328 1330 1319 1318];"[1.         0.98576491 0.9881984  0.47113086 0.55962837 0.30477798
 0.56330057 0.56213069 0.56867623 0.56770685 0.59984378]"
1332;[1321 1332 1335 1371 1314 1313 1328 1330 1319 1318];"[0.98576491 1.         0.99668564 0.4480387  0.5364844  0.54003199
 0.53911773 0.54533617 0.5443883  0.57537186]"
1335;[1321 1332 1335 1371 1314 1372 1313 1328 1330 1319 1318];"[0.9881984  0.99668564 1.         0.46422533 0.55586636 0.30276289
 0.55954212 0.55859483 0.56503794 0.56405582 0.59615874]"
1371;[1321 1332 1335 1371 1314 1372 1313 1328 1330 1319 1318];"[0.47113086 0.4480387  0.46422533 1.         0.51346189 0.41695732
 0.4842115  0.47777116 0.48800378 0.53209666 0.52801992]"
100;[100 293 294 295 296 297 298 299 300 301 302 303 304 305 409 410 411 502];"[1.         0.61604934 0.54290321 0.54771911 0.58580774 0.60944609
 0.50665483 0.44995955 0.60351117 0.48458277 0.54072105 0.45746623
 0.58471888 0.90327601 0.39599351 0.45423199 0.44594954 0.44809777]"
293;[100 293 294 295 296 297 298 299 300 301 302 303 304 305 409 410 411 502];"[0.61604934 1.         0.49267872 0.4707471  0.49996434 0.54167917
 0.45926008 0.47571637 0.80685568 0.39724913 0.46511413 0.53812417
 0.50439313 0.6070935  0.33260103 0.38827358 0.40080025 0.3779856 ]"
294;[100 293 294 295 296 297 298 299 300 301 302 303 304 305 409 410 411 502];"[0.54290321 0.49267872 1.         0.66642646 0.72062038 0.78898967
 0.61941505 0.46929335 0.4871656  0.56798432 0.61901987 0.50543968
 0.67592547 0.54100478 0.3530567  0.41473795 0.40334097 0.39452618]"
295;[100 293 294 295 296 297 298 299 300 301 302 303 304 305 409 410 411 502];"[0.54771911 0.4707471  0.66642646 1.         0.77324486 0.70217352
 0.60787971 0.45346502 0.46650207 0.55490373 0.58968704 0.48051873
 0.69018229 0.53662633 0.33185742 0.38840692 0.36569989 0.37147799]"
