User_Id;rated_companies;suggested_companies
5;['Employerland'];"['RAI' 'Microsoft' 'Aeroporti di Roma' 'EVERIS'
 ""Victoria's secret - Percassi ""]"
8;['Employerland'];"['Employerland Demo' 'Unilever' 'Johnson & Johnson' 'Philip Morris Italia'
 'Roche UK']"
10;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
12;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
13;['Bosch' 'Employerland' 'Bricoman Italia' 'RAI' 'Aeroporti di Roma'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
16;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
17;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
19;['Unilever' 'Employerland'];"['Roche UK' 'EVERIS' ""Victoria's secret - Percassi "" 'Dmail-Percassi'
 'Antica Focacceria San Francesco']"
20;"['Johnson & Johnson' 'Employerland Demo' 'Unilever' 'EY' 'Elica'
 'Lottomatica' 'Employerland' 'Bosch' 'RAI' 'Roche' 'Aeroporti di Roma']";"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
22;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
24;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
25;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
26;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
28;['Employerland'];"[""Victoria's secret - Percassi "" 'Roche UK' 'EVERIS' 'Gi Group'
 'Antica Focacceria San Francesco']"
29;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
32;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
36;['Employerland'];"['Roche UK' 'EVERIS' ""Victoria's secret - Percassi "" 'Dmail-Percassi'
 'Antica Focacceria San Francesco']"
37;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
42;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
47;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
52;['Employerland'];['Bricoman Italia' 'Leroy Merlin' 'Employerland Demo' 'RAI' 'EVERIS']
